From,To,Node,Site ID,Site Name,Description,Av Speed,85th %ile,24 Hour,Total
,,,,,,(km/h),(km/h),,
2023-03-01,2023-03-31,SAUDI,30300401.0,30300401.0,Riyadh to aif Road,93.7,125,8409,260680
2023-03-01,2023-03-31,SAUDI,30300402.0,30300402.0,Taif to Riyadh Road,109.4,138,8986,278560
2023-03-01,2023-03-31,SAUDI,30300403.0,30300403.0,Riyadh to Taif Road,116.8,141,5258,162999
2023-03-01,2023-03-31,SAUDI,30344400.0,30344400.0,Taif to Umm Adoom Road, -, -, -, -
2023-03-01,2023-03-31,SAUDI,30400400.0,30400400.0,Makkah to Al Sail Al Kaber Road,102.2,121,15684,486196
2023-03-01,2023-03-31,SAUDI,30400401.0,30400401.0,Taif to Al Sayl Al Kaber Road,98.7,113,12566,389542
2023-03-01,2023-03-31,SAUDI,30400402.0,30400402.0,Riyadh to Taif Road (Transferred), -, -, -, -
2023-03-01,2023-03-31,SAUDI,30402810.0,30402810.0,Al Hada to Al Shafa Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,30402811.0,30402811.0,Al Shafa - Al Hada - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,30500150.0,30500150.0,Makkah to Taif Road,110.5,123,19725,611468
2023-03-01,2023-03-31,SAUDI,30500151.0,30500151.0,Taif to Makkah Road,110.7,123,19500,604491
2023-03-01,2023-03-31,SAUDI,30500152.0,30500152.0,Makkah to Madina Road - to be removed,32.8,60,1,24
2023-03-01,2023-03-31,SAUDI,30500400.0,30500400.0,Jeddah to Makkah Road,106.3,117,36145,1120506
2023-03-01,2023-03-31,SAUDI,30500401.0,30500401.0,Makkah to Jeddah Road,100.5,115,27301,846316
2023-03-01,2023-03-31,SAUDI,30600050.0,30600050.0,Jeddah to Madina Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,30600051.0,30600051.0,Madina to Jeddah Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,30600052.0,30600052.0,Jeddah to Makkah Road (Al-Harmin) - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,30600053.0,30600053.0,Makkah to Jeddah Road (Al-Harmin) - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,30600150.0,30600150.0,Madina - Makkah road,112.3,124,28857,862104
2023-03-01,2023-03-31,SAUDI,30600151.0,30600151.0,Makkah - Madina Road,110,124,31963,990762
2023-03-01,2023-03-31,SAUDI,30600400.0,30600400.0,Jeddah to Makkah Expressway - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,30600401.0,30600401.0,Makkah to Jeddah Expressway - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,30602850.0,30602850.0,Asfan to Jeddah Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,30602851.0,30602851.0,Jeddah to Asfan Road - Transferred, -, -, -, -
2023-03-01,2023-03-31,SAUDI,30640500.0,30640500.0,Jeddah to Madina - Makkah High Way - to be removed,106.1,123,31599,979571
2023-03-01,2023-03-31,SAUDI,30640501.0,30640501.0,Madina-Makkah High Way to Jeddah Road - to be removed,114.3,125,14596,452470
2023-03-01,2023-03-31,SAUDI,30700150.0,30700150.0,Makkah to Madina Road,112,136,10757,333466
2023-03-01,2023-03-31,SAUDI,30700151.0,30700151.0,Madina to Makkah Road,108.7,135,11900,368910
2023-03-01,2023-03-31,SAUDI,30800050.0,30800050.0,Jeddah to Laith Road,109,124,11668,361718
2023-03-01,2023-03-31,SAUDI,30800051.0,30800051.0,Laith to Jeddah Road,104.2,122,8864,274788
2023-03-01,2023-03-31,SAUDI,30802980.0,30802980.0,Jeddah to Taif Road (Stopped), -, -, -, -
